Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,Total_Revenue,Total_Cost,Total_Profit
Asia,India,Snacks,Online,L,10/10/2012,440306556,11/20/2012,5349,152.58,97.44,816150.44,521206.56,294943.88
Asia,India,Personal Care,Offline,H,3/5/2010,829856431,4/15/2010,1814,81.73,56.67,148258.22,102799.38,45458.84
Asia,India,Meat,Offline,C,2/18/2010,631333053,3/24/2010,4335,421.89,364.69,1828893.1,1580931.1,247962.0
Asia,India,Vegetables,Offline,H,2/27/2011,369167077,4/4/2011,3597,154.06,90.93,554153.8,327075.22,227078.61
Asia,India,Baby Food,Offline,H,8/1/2014,156325423,8/29/2014,9021,255.28,159.42,2302881.0,1438127.9,864753.06
Asia,India,Snacks,Online,M,3/17/2016,802643382,4/2/2016,8868,152.58,97.44,1353079.5,864097.94,488981.53
Asia,India,Baby Food,Offline,M,1/2/2013,327396714,2/11/2013,2818,255.28,159.42,719379.06,449245.56,270133.47
Asia,India,Cosmetics,Online,M,3/17/2015,965667188,5/3/2015,1235,437.2,263.33,539942.0,325212.56,214729.45
Asia,India,Meat,Offline,C,4/6/2016,723653829,4/20/2016,4104,421.89,364.69,1731436.5,1496687.8,234748.8
Asia,India,Snacks,Online,H,2/3/2010,476497066,3/13/2010,4925,152.58,97.44,751456.5,479892.0,271564.5
Asia,India,Beverages,Online,M,10/29/2016,577301776,11/2/2016,5279,47.45,31.79,250488.55,167819.4,82669.14
Asia,India,Cosmetics,Online,H,3/29/2011,635151660,4/15/2011,4346,437.2,263.33,1900071.2,1144432.1,755639.0
Asia,India,Household,Online,M,2/26/2017,278114020,4/2/2017,8974,668.27,502.54,5997055.0,4509794.0,1487261.0
Asia,India,Meat,Online,H,1/8/2011,951109874,2/2/2011,3402,421.89,364.69,1435269.8,1240675.4,194594.4
Asia,India,Cosmetics,Online,H,9/18/2010,889031112,10/1/2010,2917,437.2,263.33,1275312.4,768133.6,507178.78
Asia,India,Fruits,Offline,L,10/5/2010,409612643,10/26/2010,2338,9.33,6.92,21813.54,16178.96,5634.58
Asia,India,Fruits,Offline,H,12/22/2014,397013986,2/10/2015,4116,9.33,6.92,38402.28,28482.72,9919.56
Asia,India,Baby Food,Online,H,1/28/2010,313514888,3/13/2010,4877,255.28,159.42,1245000.5,777491.3,467509.22
Asia,India,Snacks,Offline,L,5/30/2017,597553098,7/7/2017,8095,152.58,97.44,1235135.1,788776.8,446358.3
Asia,India,Cosmetics,Online,L,5/31/2011,335485827,6/6/2011,6566,437.2,263.33,2870655.2,1729024.8,1141630.4
Asia,India,Office Supplies,Online,C,11/21/2010,636673867,12/3/2010,4800,651.21,524.96,3125808.0,2519808.0,606000.0
Asia,India,Snacks,Offline,C,10/25/2012,726204717,11/12/2012,8968,152.58,97.44,1368337.5,873841.94,494495.53
Asia,India,Beverages,Online,L,9/15/2015,366813600,10/1/2015,7150,47.45,31.79,339267.5,227298.5,111969.0
Asia,India,Cosmetics,Online,M,6/28/2010,851868999,8/7/2010,5822,437.2,263.33,2545378.5,1533107.2,1012271.1
